crm_company_id,company_name,domain,industry,employee_count,created_at
COMP_000000,Keystone Data,keystone.com,Healthcare,250,2022-04-16T00:00:00
COMP_000001,Meridian Partners,meridian.co,Consulting,10000,2023-02-12T00:00:00
COMP_000002,Horizon Labs,horizon.co,Energy,10000,2023-03-30T00:00:00
COMP_000003,Sapphire Analytics,sapphire.com,Healthcare,250,2022-10-04T00:00:00
COMP_000004,Nexus Healthcare,nexus.io,Energy,10000,2023-07-06T00:00:00
COMP_000005,NorthStar Systems,northstar.io,Consulting,500,2023-04-22T00:00:00
COMP_000006,Granite Holdings,granite.io,Finance,5000,2023-05-30T00:00:00
COMP_000007,Delta Platforms,delta.com,Logistics,10,2022-08-03T00:00:00
COMP_000008,Jade Systems,jade.co,Consulting,100,2022-07-04T00:00:00
COMP_000009,Atlantic Digital,atlantic.co,Media,100,2022-03-23T00:00:00
COMP_000010,Ironclad Security,ironclad.com,Media,10,2023-10-07T00:00:00
COMP_000011,GreenField Energy,greenfield.com,Consulting,10000,2022-05-21T00:00:00
COMP_000012,Prism Consulting,prism.com,Media,1000,2023-02-28T00:00:00
COMP_000013,Quartz Health,quartz.io,Technology,5000,2022-09-06T00:00:00
COMP_000014,CloudPeak Technologies,cloudpeak.com,Energy,500,2022-07-11T00:00:00
COMP_000015,Redwood Industries,redwood.com,Energy,5000,2023-07-28T00:00:00
COMP_000016,Pinnacle Financial,pinnacle.com,Media,50,2022-12-18T00:00:00
COMP_000017,Alpine Services,alpine.io,Energy,500,2023-01-27T00:00:00
COMP_000018,Ember Technologies,ember.co,Energy,250,2022-06-21T00:00:00
COMP_000019,Vertex Software,vertex.co,Logistics,1000,2023-04-11T00:00:00
COMP_000020,Summit Health,summit.com,Energy,10,2022-12-29T00:00:00
COMP_000021,TechFlow Inc,techflow.com,Energy,500,2022-04-15T00:00:00
COMP_000022,Harbor Analytics,harbor.io,Healthcare,100,2023-12-03T00:00:00
COMP_000023,Onyx Solutions,onyx.co,Healthcare,100,2022-03-24T00:00:00
COMP_000024,ONYX SOLUTIONS,onyx.co,Energy,500,2022-03-24T00:00:00
COMP_000025,DataBridge Solutions,databridge.com,Technology,250,2023-03-22T00:00:00
COMP_000026,Echo Intelligence,echo.co,Technology,100,2022-03-06T00:00:00
COMP_000027,Silverline Capital,silverline.co,Technology,10,2022-04-21T00:00:00
COMP_000028,Cobalt Engineering,cobalt.co,Energy,10000,2023-03-17T00:00:00
COMP_000029,NORTHSTAR SYSTEMS,northstar.io,Media,100,2022-04-17T00:00:00
COMP_000030,Ridge Financial,ridge.com,Finance,5000,2023-01-12T00:00:00
COMP_000031,Nova Computing,nova.io,Finance,5000,2022-09-15T00:00:00
COMP_000032,Spark Automation,spark.io,Logistics,5000,2023-10-25T00:00:00
COMP_000033,Orbit Solutions,orbit.com,Media,500,2022-01-31T00:00:00
COMP_000034,Quantum Analytics,quantum.co,Logistics,10,2023-06-29T00:00:00
COMP_000035,Canyon Resources,canyon.com,Energy,100,2023-01-16T00:00:00
COMP_000036,Isle Technologies,isle.io,Logistics,10000,2023-07-06T00:00:00
COMP_000037,Atlas Logistics,atlas.co,Consulting,50,2022-11-24T00:00:00
COMP_000038,ATLANTIC DIGITAL,atlantic.co,Consulting,10000,2022-02-25T00:00:00
COMP_000039,BlueWave Media,bluewave.co,Media,250,2023-07-06T00:00:00
COMP_000040,Forge Labs,forge.io,Consulting,5000,2023-05-13T00:00:00
COMP_000041,harbor analytics,harbor.io,Energy,10,2022-02-13T00:00:00
COMP_000042,Acme Corp,acme.co,Finance,100,2023-05-31T00:00:00
COMP_000043,QUANTUM ANALYTICS,quantum.co,Media,1000,2023-08-10T00:00:00
COMP_000044,Obsidian Research,obsidian.com,Media,10000,2023-01-13T00:00:00
COMP_000045,Sterling Ventures,sterling.co,Energy,100,2023-12-18T00:00:00
COMP_000046,Amber Group,amber.com,Healthcare,10,2023-03-02T00:00:00
COMP_000047,Coral Networks,coral.co,Healthcare,5000,2023-09-05T00:00:00
COMP_000048,meridian partners,meridian.co,Finance,100,2023-11-08T00:00:00
COMP_000049,Tidal Software,tidal.io,Energy,100,2023-05-04T00:00:00
COMP_000050,Lumen AI,lumen.com,Logistics,100,2022-12-27T00:00:00
COMP_000051,Beacon Data,beacon.com,Media,10,2022-04-25T00:00:00
COMP_000052,Frost Dynamics,frost.com,Media,500,2023-10-16T00:00:00
COMP_000053,Catalyst AI,catalyst.com,Logistics,100,2023-03-02T00:00:00
COMP_000054,tidal software,tidal.io,Energy,100,2022-04-21T00:00:00
COMP_000055,Pulse Engineering,pulse.com,Technology,1000,2023-02-14T00:00:00
COMP_000056,silverline capital,silverline.co,Healthcare,50,2022-01-10T00:00:00
COMP_000057,delta platforms,delta.com,Media,250,2023-07-18T00:00:00
COMP_000058,keystone data,keystone.com,Finance,250,2022-09-17T00:00:00
COMP_000059,NorthStar Sysbems,northstar.io,Finance,250,2022-04-05T00:00:00
COMP_000060,LUMEN AI,lumen.com,Finance,50,2022-10-02T00:00:00
COMP_000061,alpine services,alpine.io,Technology,5000,2022-10-03T00:00:00
COMP_000062,BEACON DATA,beacon.com,Logistics,250,2023-09-07T00:00:00
COMP_000063,Pacific Innovations,pacific.io,Consulting,250,2023-01-14T00:00:00
COMP_000064,FROST DYNAMICS,frost.com,Media,50,2023-04-09T00:00:00
COMP_000065,forge labs,forge.io,Healthcare,50,2023-09-27T00:00:00
COMP_000066,SAPPHIRE ANALYTICS,sapphire.com,Healthcare,50,2023-01-21T00:00:00
COMP_000067,ironclad security,ironclad.com,Healthcare,500,2022-06-27T00:00:00
COMP_000068,PRISM CONSULTING,prism.com,Technology,500,2022-11-21T00:00:00
COMP_000069,RedwoodIndustries,redwood.com,Technology,500,2023-12-23T00:00:00
COMP_000070,DataBridge,databridge.com,Consulting,10,2022-02-06T00:00:00
COMP_000071,TehhFlow Inc,techflow.com,Healthcare,250,2023-11-08T00:00:00
COMP_000072,KEYSTONE DATA,keystone.com,Media,10,2023-10-23T00:00:00
COMP_000073,cobalt engineering,cobalt.co,Media,10000,2022-12-06T00:00:00
COMP_000074,NoorthStar Systems,northstar.io,Energy,250,2023-07-19T00:00:00
COMP_000075,bluewave media,bluewave.co,Media,1000,2023-10-10T00:00:00
COMP_000076,Onyx,onyx.co,Energy,500,2022-01-12T00:00:00
COMP_000077,QUARTZ HEALTH,quartz.io,Technology,250,2022-12-20T00:00:00
COMP_000078,jade systems,jade.co,Healthcare,500,2023-01-23T00:00:00
COMP_000079,REDWOOD INDUSTRIES,redwood.com,Technology,5000,2023-11-26T00:00:00
COMP_000080,catalyst ai,catalyst.com,Energy,100,2022-01-12T00:00:00
COMP_000081,ISLE TECHNOLOGIES,isle.io,Logistics,250,2023-05-12T00:00:00
COMP_000082,Tidal Softwware,tidal.io,Technology,1000,2023-04-25T00:00:00
COMP_000083,SPARK AUTOMATION,spark.io,Energy,500,2023-01-24T00:00:00
COMP_000084,Foge Labs,forge.io,Energy,100,2023-12-13T00:00:00
COMP_000085,techflow inc,techflow.com,Energy,500,2022-11-04T00:00:00
COMP_000086,Sumit Health,summit.com,Technology,10,2023-04-11T00:00:00
COMP_000087,Pcific Innovations,pacific.io,Energy,10,2022-01-22T00:00:00
COMP_000088,JADE SYSTEMS,jade.co,Media,50,2022-01-06T00:00:00
COMP_000089,HORIZON LABS,horizon.co,Logistics,1000,2023-04-24T00:00:00
COMP_000090,Altas Logistics,atlas.co,Technology,500,2022-12-24T00:00:00
COMP_000091,orbit solutions,orbit.com,Healthcare,50,2022-04-13T00:00:00
COMP_000092,frost dynamics,frost.com,Healthcare,10,2022-04-02T00:00:00
COMP_000093,spark automation,spark.io,Energy,100,2022-04-06T00:00:00
COMP_000094,Pulse Engineernig,pulse.com,Technology,500,2022-08-09T00:00:00
COMP_000095,quantum analytics,quantum.co,Consulting,1000,2023-04-16T00:00:00
COMP_000096,Alpin Services,alpine.io,Media,5000,2022-03-22T00:00:00
COMP_000097,summit health,summit.com,Energy,10000,2022-07-10T00:00:00
COMP_000098,NOVA COMPUTING,nova.io,Logistics,1000,2023-03-25T00:00:00
COMP_000099,SUMMIT HEALTH,summit.com,Energy,50,2023-02-15T00:00:00
COMP_000100,TechFlow,techflow.com,Healthcare,50,2023-09-19T00:00:00
COMP_000101,pinnacle financial,pinnacle.com,Finance,10,2022-04-18T00:00:00
COMP_000102,FORGE LABS,forge.io,Healthcare,100,2022-11-04T00:00:00
COMP_000103,Puse Engineering,pulse.com,Energy,1000,2022-01-20T00:00:00
COMP_000104,pulse engineering,pulse.com,Finance,50,2023-04-24T00:00:00
COMP_000105,pacific innovations,pacific.io,Consulting,50,2023-02-21T00:00:00
COMP_000106,PULSE ENGINEERING,pulse.com,Healthcare,500,2023-03-16T00:00:00
